p_mi,id,title,author1,author_gender,category,frmt1,frmt2
49952,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
49356,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
49299,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
49147,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
49096,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
48904,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
48812,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
48776,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
48745,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
48522,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
48047,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
47877,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
47853,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
47829,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
47484,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
47256,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
47158,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
46721,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
46473,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
46417,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
46170,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
45988,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
45917,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
45858,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
45739,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
45727,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
45586,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
45338,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
45267,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
45233,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
45068,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
44412,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
44286,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
44278,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
43706,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
43323,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
43118,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
42626,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
41894,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
41223,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
41127,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
38380,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
38280,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
38018,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
37889,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
34937,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
34720,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
33846,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
33624,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
32699,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
32481,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
28972,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
0,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
