r_root,id,title,author1,author_gender,category,frmt1,frmt2
51421,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
51343,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
50588,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
49229,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
49092,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
47068,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
46226,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
45196,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
41756,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
36781,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
