id,title,author1,author_gender,category,frmt1,frmt2,n,common,rare,ttrall,ttrNN,ttrVB,ttrJJ
SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell,10000,739,52,223,580,200,495
SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell,10000,782,37,214,474,212,484
SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell,10000,792,34,194,497,181,450
SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell,10000,792,32,209,510,197,493
SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell,10000,768,31,223,538,229,551
SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell,10000,763,44,210,531,199,531
SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell,10000,802,17,168,445,164,436
SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell,10000,780,32,194,513,177,458
SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell,10000,769,35,202,500,181,503
SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell,10000,745,39,208,431,224,467
SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell,10000,829,17,169,390,175,423
SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell,10000,743,40,226,546,202,446
SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell,10000,762,36,201,456,190,425
SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell,10000,794,24,190,506,180,438
SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell,10000,735,42,217,486,246,399
SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both,10000,740,42,222,464,233,472
SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both,10000,750,40,190,492,183,400
SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell,10000,751,54,211,508,208,364
SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell,10000,762,56,220,522,201,492
SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell,10000,662,86,277,525,291,455
SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both,10000,775,28,210,519,213,491
SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both,10000,769,35,222,490,217,455
SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both,10000,784,44,204,534,175,489
SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell,10000,727,47,244,527,239,532
SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell,10000,834,21,175,395,189,394
SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell,10000,792,37,179,360,172,356
SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell,10000,785,50,176,445,159,506
SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell,10000,785,43,214,503,196,495
SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both,10000,786,24,202,512,208,497
SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both,10000,759,31,218,564,221,521
