id,title,author1,author2,author_gender,category,frmt1,frmt2,wc,slm,slsd,plm,plsd,ddm,ddsd
SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell,107859,11402,9337,26110,29759,3119,1473
SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell,123196,11902,8898,28798,29151,3119,1415
SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell,85935,12628,6828,31781,41668,3085,1323
SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell,142176,14563,17824,219747,148001,3528,1827
SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell,104980,9153,5843,21424,21958,2849,1307
SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell,170250,12527,9151,31365,28583,3221,1500
SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell,104596,11835,9989,32748,32983,3150,1487
SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell,82506,17573,12204,49375,45095,3554,1686
SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell,58190,9836,6025,32220,39034,2805,1204
SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell,94609,11263,6250,18208,13010,2952,1257
SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell,88446,11358,6981,24385,24095,3064,1387
SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell,126428,10749,8358,24756,29425,3101,1485
SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell,134016,10550,10414,23590,32731,3343,1772
SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both,133957,13505,8002,18408,13361,3204,1391
SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both,128530,12806,9326,31862,28490,3324,1677
SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell,111124,15553,9429,41635,28693,3358,1595
SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell,112316,10310,7428,28192,25071,2986,1355
SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell,125004,11980,11219,32292,34210,3308,1644
SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both,73973,12574,6761,32616,39092,3080,1316
SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both,84595,10676,6661,33663,41361,2992,1359
SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both,105000,13031,11234,48792,45803,3280,1582
SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell,134314,13187,8548,39239,52778,3151,1393
SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell,48455,10036,7070,35629,48727,2889,1272
SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell,83135,12816,13993,37081,59812,3323,1631
SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell,71593,12108,11529,316783,360707,3154,1500
SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell,114861,17146,13180,59544,62404,3521,1662
SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both,80668,13490,7334,31573,40361,3144,1369
SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both,76457,11941,6914,26211,30078,3045,1314
SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell,116281,16164,11169,38050,30145,3507,1706
SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell,97191,11236,7048,31939,28294,3076,1384
SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell,150078,15162,10826,35312,27704,3409,1601
SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell,74623,19322,13801,56834,74044,3742,1788
SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell,297642,23262,19861,70331,71497,3902,1966
